total_anos_b;total_anos_d
1.0;1.0
1.1666666666666667;1.5547945205479452
3.0;5.0
2.0;2.0
1.1666666666666667;0.9045662100456622
1.374429223744292;1.374429223744292
1.3333333333333333;1.3333333333333333
1.0;1.0
1.3333333333333333;1.3333333333333333
1.0;1.0
1.3333333333333333;0.6666666666666666
1.0;1.1666666666666667
1.0;1.3333333333333333
1.5;0.8333333333333334
1.1666666666666667;1.1666666666666667
1.0;1.0
1.1666666666666667;1.1666666666666667
1.0;1.0
2.1244292237442925;2.1244292237442925
1.25;1.5602739726027397
1.199543378995434;0.6666666666666666
1.0;1.0
1.0;1.3333333333333333
1.1666666666666667;1.1666666666666667
1.25;0.5
1.199543378995434;1.199543378995434
1.1666666666666667;0.7965753424657535
1.1666666666666667;1.1666666666666667
1.0;1.0
1.0;1.1666666666666667
1.374429223744292;1.6025114155251143
1.1666666666666667;1.2773972602739727
1.0;0.4440639269406393
1.3333333333333333;1.0
1.5;1.0
1.0;0.6666666666666666
1.1666666666666667;0.3881278538812785
1.0;1.0
1.75;2.0
1.1666666666666667;1.1666666666666667
1.0;1.1666666666666667
1.1666666666666667;1.1666666666666667
1.1666666666666667;1.3333333333333333
1.1666666666666667;1.9440639269406392
1.0;1.0
1.1666666666666667;1.1666666666666667
1.0;1.3333333333333333
1.0;1.3333333333333333
1.75;1.4577625570776256
1.1666666666666667;1.1666666666666667
1.0;1.0
1.1666666666666667;1.5547945205479452
1.1666666666666667;1.510958904109589
1.1666666666666667;0.3881278538812785
1.5;1.75
1.1666666666666667;1.3607305936073057
1.1666666666666667;1.1666666666666667
1.1666666666666667;1.5547945205479452
1.374429223744292;2.1353881278538815
1.0;1.0
1.199543378995434;0.47694063926940644
1.1666666666666667;1.1666666666666667
1.0;0.4440639269406393
1.0;1.1666666666666667
1.0;0.7773972602739726
1.0;1.0
1.1666666666666667;1.1666666666666667
1.0;0.5833333333333334
1.0;0.691324200913242
1.0;1.0
1.1666666666666667;1.1666666666666667
1.1666666666666667;0.3881278538812785
1.0;1.0
1.0;0.3333333333333333
1.0;1.3333333333333333
1.0;1.0
1.0;0.5
3.0;2.9166666666666665
1.1666666666666667;1.1666666666666667
1.1666666666666667;1.3607305936073057
1.0833333333333333;0.7214611872146118
1.3607305936073057;1.3607305936073057
1.0;1.1666666666666667
1.0;1.0
1.0;1.0
1.0;0.5970319634703196
1.0;1.0
1.25;0.7269406392694063
1.1666666666666667;0.3881278538812785
1.1666666666666667;1.1666666666666667
1.0;0.6666666666666666
1.25;1.5
1.0;1.3333333333333333
1.0;1.3333333333333333
1.199543378995434;1.0
1.374429223744292;1.6025114155251143
1.1666666666666667;1.1666666666666667
1.124429223744292;1.0860730593607306
1.0;1.0
